Województwo,Kwartał,Rok,Ludność,Ludność_100tys
LUBELSKIE,1,2022,2029026,20.29026
LUBELSKIE,2,2022,2030509,20.30509
LUBELSKIE,3,2022,2026732,20.26732
LUBELSKIE,4,2022,2024637,20.24637
LUBELSKIE,1,2023,2015406,20.15406
LUBELSKIE,2,2023,2017807,20.17807
LUBELSKIE,3,2023,2013128,20.13128
LUBELSKIE,4,2023,2011047,20.11047
LUBELSKIE,1,2024,2000767,20.00767
LUBELSKIE,2,2024,2003475,20.03475
LUBELSKIE,3,2024,1998506,19.98506
LUBELSKIE,4,2024,1996440,19.9644
KUJAWSKO-POMORSKIE,1,2016,2084531,20.84531
KUJAWSKO-POMORSKIE,2,2016,2084524,20.84524
KUJAWSKO-POMORSKIE,3,2016,2084778,20.84778
KUJAWSKO-POMORSKIE,4,2016,2083927,20.83927
KUJAWSKO-POMORSKIE,1,2017,2083548,20.83548
KUJAWSKO-POMORSKIE,2,2017,2082935,20.82935
KUJAWSKO-POMORSKIE,3,2017,2083795,20.83795
KUJAWSKO-POMORSKIE,4,2017,2082944,20.82944
KUJAWSKO-POMORSKIE,1,2018,2078377,20.78377
KUJAWSKO-POMORSKIE,2,2018,2079917,20.79917
KUJAWSKO-POMORSKIE,3,2018,2078623,20.78623
KUJAWSKO-POMORSKIE,4,2018,2077775,20.77775
KUJAWSKO-POMORSKIE,1,2019,2072974,20.72974
KUJAWSKO-POMORSKIE,2,2019,2074517,20.74517
KUJAWSKO-POMORSKIE,3,2019,2073219,20.73219
KUJAWSKO-POMORSKIE,4,2019,2072373,20.72373
KUJAWSKO-POMORSKIE,1,2020,2032139,20.32139
KUJAWSKO-POMORSKIE,2,2020,2038881,20.38881
KUJAWSKO-POMORSKIE,3,2020,2032380,20.3238
KUJAWSKO-POMORSKIE,4,2020,2031550,20.3155
KUJAWSKO-POMORSKIE,1,2021,2018305,20.18305
KUJAWSKO-POMORSKIE,2,2021,2023983,20.23983
KUJAWSKO-POMORSKIE,3,2021,2018544,20.18544
KUJAWSKO-POMORSKIE,4,2021,2017720,20.1772
KUJAWSKO-POMORSKIE,1,2022,2007458,20.07458
KUJAWSKO-POMORSKIE,2,2022,2011652,20.11652
KUJAWSKO-POMORSKIE,3,2022,2007696,20.07696
KUJAWSKO-POMORSKIE,4,2022,2006876,20.06876
KUJAWSKO-POMORSKIE,1,2023,1996581,19.96581
KUJAWSKO-POMORSKIE,2,2023,2001670,20.0167
KUJAWSKO-POMORSKIE,3,2023,1996818,19.96818
KUJAWSKO-POMORSKIE,4,2023,1996003,19.96003
KUJAWSKO-POMORSKIE,1,2024,1985054,19.85054
KUJAWSKO-POMORSKIE,2,2024,1990323,19.90323
KUJAWSKO-POMORSKIE,3,2024,1985289,19.85289
KUJAWSKO-POMORSKIE,4,2024,1984479,19.84479
DOLNOŚLĄSKIE,1,2016,2903958,29.03958
DOLNOŚLĄSKIE,2,2016,2903812,29.03812
DOLNOŚLĄSKIE,3,2016,2904567,29.04567
DOLNOŚLĄSKIE,4,2016,2903710,29.0371
DOLNOŚLĄSKIE,1,2017,2902795,29.02795
DOLNOŚLĄSKIE,2,2017,2902365,29.02365
DOLNOŚLĄSKIE,3,2017,2903404,29.03404
DOLNOŚLĄSKIE,4,2017,2902547,29.02547
DOLNOŚLĄSKIE,1,2018,2901473,29.01473
DOLNOŚLĄSKIE,2,2018,2901003,29.01003
DOLNOŚLĄSKIE,3,2018,2902081,29.02081
DOLNOŚLĄSKIE,4,2018,2901225,29.01225
DOLNOŚLĄSKIE,1,2019,2900411,29.00411
DOLNOŚLĄSKIE,2,2019,2899986,28.99986
DOLNOŚLĄSKIE,3,2019,2901019,29.01019
DOLNOŚLĄSKIE,4,2019,2900163,29.00163
DOLNOŚLĄSKIE,1,2020,2908627,29.08627
DOLNOŚLĄSKIE,2,2020,2915582,29.15582
DOLNOŚLĄSKIE,3,2020,2909236,29.09236
DOLNOŚLĄSKIE,4,2020,2908378,29.08378
DOLNOŚLĄSKIE,1,2021,2897985,28.97985
DOLNOŚLĄSKIE,2,2021,2901316,29.01316
DOLNOŚLĄSKIE,3,2021,2898592,28.98592
DOLNOŚLĄSKIE,4,2021,2897737,28.97737
DOLNOŚLĄSKIE,1,2022,2888280,28.8828
DOLNOŚLĄSKIE,2,2022,2892067,28.92067
DOLNOŚLĄSKIE,3,2022,2888885,28.88885
DOLNOŚLĄSKIE,4,2022,2888033,28.88033
DOLNOŚLĄSKIE,1,2023,2879517,28.79517
DOLNOŚLĄSKIE,2,2023,2883133,28.83133
DOLNOŚLĄSKIE,3,2023,2880121,28.80121
DOLNOŚLĄSKIE,4,2023,2879271,28.79271
DOLNOŚLĄSKIE,1,2024,2868487,28.68487
DOLNOŚLĄSKIE,2,2024,2874496,28.74496
DOLNOŚLĄSKIE,3,2024,2869088,28.69088
DOLNOŚLĄSKIE,4,2024,2868242,28.68242
POMORSKIE,1,2016,2309179,23.09179
POMORSKIE,2,2016,2311469,23.11469
POMORSKIE,3,2016,2314321,23.14321
POMORSKIE,4,2016,2315611,23.15611
POMORSKIE,1,2017,2317795,23.17795
POMORSKIE,2,2017,2319735,23.19735
POMORSKIE,3,2017,2322956,23.22956
POMORSKIE,4,2017,2324251,23.24251
POMORSKIE,1,2018,2327041,23.27041
POMORSKIE,2,2018,2328214,23.28214
POMORSKIE,3,2018,2332223,23.32223
POMORSKIE,4,2018,2333523,23.33523
POMORSKIE,1,2019,2337417,23.37417
POMORSKIE,2,2019,2337769,23.37769
POMORSKIE,3,2019,2342622,23.42622
POMORSKIE,4,2019,2343928,23.43928
POMORSKIE,1,2020,2351705,23.51705
POMORSKIE,2,2020,2358302,23.58302
POMORSKIE,3,2020,2356942,23.56942
POMORSKIE,4,2020,2358256,23.58256
POMORSKIE,1,2021,2352174,23.52174
POMORSKIE,2,2021,2357809,23.57809
POMORSKIE,3,2021,2357412,23.57412
POMORSKIE,4,2021,2358726,23.58726
POMORSKIE,1,2022,2351756,23.51756
POMORSKIE,2,2022,2358452,23.58452
POMORSKIE,3,2022,2356993,23.56993
POMORSKIE,4,2022,2358307,23.58307
POMORSKIE,1,2023,2353019,23.53019
POMORSKIE,2,2023,2358323,23.58323
POMORSKIE,3,2023,2358259,23.58259
POMORSKIE,4,2023,2359573,23.59573
POMORSKIE,1,2024,2352939,23.52939
POMORSKIE,2,2024,2359956,23.59956
POMORSKIE,3,2024,2358179,23.58179
POMORSKIE,4,2024,2359493,23.59493
ŚLĄSKIE,1,2016,4565528,45.65528
ŚLĄSKIE,2,2016,4564394,45.64394
ŚLĄSKIE,3,2016,4562580,45.6258
ŚLĄSKIE,4,2016,4559164,45.59164
ŚLĄSKIE,1,2017,4554529,45.54529
ŚLĄSKIE,2,2017,4552627,45.52627
ŚLĄSKIE,3,2017,4551587,45.51587
ŚLĄSKIE,4,2017,4548180,45.4818
ŚLĄSKIE,1,2018,4539894,45.39894
ŚLĄSKIE,2,2018,4540140,45.4014
ŚLĄSKIE,3,2018,4536961,45.36961
ŚLĄSKIE,4,2018,4533565,45.33565
ŚLĄSKIE,1,2019,4523941,45.23941
ŚLĄSKIE,2,2019,4524091,45.24091
ŚLĄSKIE,3,2019,4521019,45.21019
ŚLĄSKIE,4,2019,4517635,45.17635
ŚLĄSKIE,1,2020,4418256,44.18256
