Województwo,Rok,Kwartał,saldo migracji wewnętrznych
PODKARPACKIE,2022,3,-611.0
PODKARPACKIE,2022,4,-526.0
PODKARPACKIE,2023,1,-584.0
PODKARPACKIE,2023,2,-706.0
PODKARPACKIE,2023,3,-748.0
PODKARPACKIE,2023,4,-624.0
PODKARPACKIE,2024,1,-655.0
PODKARPACKIE,2024,2,-757.0
PODKARPACKIE,2024,3,-778.0
PODKARPACKIE,2024,4,-637.0
PODLASKIE,2016,1,-346.0
PODLASKIE,2016,2,-352.0
PODLASKIE,2016,3,-485.0
PODLASKIE,2016,4,-380.0
PODLASKIE,2017,1,-393.0
PODLASKIE,2017,2,-415.0
PODLASKIE,2017,3,-589.0
PODLASKIE,2017,4,-467.0
PODLASKIE,2018,1,-483.0
PODLASKIE,2018,2,-510.0
PODLASKIE,2018,3,-719.0
PODLASKIE,2018,4,-566.0
PODLASKIE,2019,1,-582.0
PODLASKIE,2019,2,-587.0
PODLASKIE,2019,3,-764.0
PODLASKIE,2019,4,-525.0
PODLASKIE,2020,1,-446.0
PODLASKIE,2020,2,-396.0
PODLASKIE,2020,3,-492.0
PODLASKIE,2020,4,-366.0
PODLASKIE,2021,1,-376.0
PODLASKIE,2021,2,-385.0
PODLASKIE,2021,3,-517.0
PODLASKIE,2021,4,-377.0
PODLASKIE,2022,1,-349.0
PODLASKIE,2022,2,-342.0
PODLASKIE,2022,3,-464.0
PODLASKIE,2022,4,-369.0
PODLASKIE,2023,1,-395.0
PODLASKIE,2023,2,-420.0
PODLASKIE,2023,3,-585.0
PODLASKIE,2023,4,-443.0
PODLASKIE,2024,1,-430.0
PODLASKIE,2024,2,-427.0
PODLASKIE,2024,3,-571.0
PODLASKIE,2024,4,-428.0
POMORSKIE,2016,1,780.0
POMORSKIE,2016,2,902.0
POMORSKIE,2016,3,1051.0
POMORSKIE,2016,4,750.0
POMORSKIE,2017,1,766.0
POMORSKIE,2017,2,902.0
POMORSKIE,2017,3,1103.0
POMORSKIE,2017,4,852.0
POMORSKIE,2018,1,957.0
POMORSKIE,2018,2,1210.0
POMORSKIE,2018,3,1543.0
POMORSKIE,2018,4,1209.0
POMORSKIE,2019,1,1354.0
POMORSKIE,2019,2,1612.0
POMORSKIE,2019,3,1820.0
POMORSKIE,2019,4,1164.0
POMORSKIE,2020,1,980.0
POMORSKIE,2020,2,971.0
POMORSKIE,2020,3,1062.0
POMORSKIE,2020,4,810.0
POMORSKIE,2021,1,956.0
POMORSKIE,2021,2,1198.0
POMORSKIE,2021,3,1436.0
POMORSKIE,2021,4,999.0
POMORSKIE,2022,1,951.0
POMORSKIE,2022,2,1042.0
POMORSKIE,2022,3,1188.0
POMORSKIE,2022,4,864.0
POMORSKIE,2023,1,925.0
POMORSKIE,2023,2,1112.0
POMORSKIE,2023,3,1346.0
POMORSKIE,2023,4,997.0
POMORSKIE,2024,1,1057.0
POMORSKIE,2024,2,1252.0
POMORSKIE,2024,3,1485.0
POMORSKIE,2024,4,1073.0
ŚLĄSKIE,2016,1,-850.0
ŚLĄSKIE,2016,2,-823.0
ŚLĄSKIE,2016,3,-978.0
ŚLĄSKIE,2016,4,-775.0
ŚLĄSKIE,2017,1,-763.0
ŚLĄSKIE,2017,2,-743.0
ŚLĄSKIE,2017,3,-930.0
ŚLĄSKIE,2017,4,-822.0
ŚLĄSKIE,2018,1,-937.0
ŚLĄSKIE,2018,2,-986.0
ŚLĄSKIE,2018,3,-1254.0
ŚLĄSKIE,2018,4,-1051.0
ŚLĄSKIE,2019,1,-1086.0
ŚLĄSKIE,2019,2,-1045.0
ŚLĄSKIE,2019,3,-1215.0
ŚLĄSKIE,2019,4,-927.0
ŚLĄSKIE,2020,1,-861.0
ŚLĄSKIE,2020,2,-785.0
ŚLĄSKIE,2020,3,-922.0
ŚLĄSKIE,2020,4,-772.0
ŚLĄSKIE,2021,1,-845.0
ŚLĄSKIE,2021,2,-865.0
ŚLĄSKIE,2021,3,-1080.0
ŚLĄSKIE,2021,4,-897.0
ŚLĄSKIE,2022,1,-925.0
ŚLĄSKIE,2022,2,-884.0
ŚLĄSKIE,2022,3,-1018.0
ŚLĄSKIE,2022,4,-763.0
ŚLĄSKIE,2023,1,-690.0
ŚLĄSKIE,2023,2,-615.0
ŚLĄSKIE,2023,3,-711.0
ŚLĄSKIE,2023,4,-594.0
ŚLĄSKIE,2024,1,-656.0
ŚLĄSKIE,2024,2,-676.0
ŚLĄSKIE,2024,3,-846.0
ŚLĄSKIE,2024,4,-703.0
ŚWIĘTOKRZYSKIE,2016,1,-486.0
ŚWIĘTOKRZYSKIE,2016,2,-433.0
ŚWIĘTOKRZYSKIE,2016,3,-595.0
ŚWIĘTOKRZYSKIE,2016,4,-455.0
ŚWIĘTOKRZYSKIE,2017,1,-608.0
ŚWIĘTOKRZYSKIE,2017,2,-554.0
ŚWIĘTOKRZYSKIE,2017,3,-741.0
ŚWIĘTOKRZYSKIE,2017,4,-521.0
ŚWIĘTOKRZYSKIE,2018,1,-616.0
ŚWIĘTOKRZYSKIE,2018,2,-553.0
ŚWIĘTOKRZYSKIE,2018,3,-796.0
ŚWIĘTOKRZYSKIE,2018,4,-661.0
ŚWIĘTOKRZYSKIE,2019,1,-965.0
ŚWIĘTOKRZYSKIE,2019,2,-890.0
ŚWIĘTOKRZYSKIE,2019,3,-1146.0
ŚWIĘTOKRZYSKIE,2019,4,-716.0
ŚWIĘTOKRZYSKIE,2020,1,-681.0
ŚWIĘTOKRZYSKIE,2020,2,-482.0
ŚWIĘTOKRZYSKIE,2020,3,-561.0
ŚWIĘTOKRZYSKIE,2020,4,-417.0
ŚWIĘTOKRZYSKIE,2021,1,-592.0
ŚWIĘTOKRZYSKIE,2021,2,-556.0
